date,item,sales
2013-01-01,1,133
2013-01-01,2,327
2013-01-01,3,172
2013-01-01,4,102
2013-01-01,5,83
2013-01-01,6,288
2013-01-01,7,278
2013-01-01,8,416
2013-01-01,9,245
2013-01-01,10,378
2013-01-01,11,369
2013-01-01,12,369
2013-01-01,13,444
2013-01-01,14,310
2013-01-01,15,453
2013-01-01,16,144
2013-01-01,17,171
2013-01-01,18,415
2013-01-01,19,208
2013-01-01,20,265
2013-01-01,21,222
2013-01-01,22,459
2013-01-01,23,146
2013-01-01,24,349
2013-01-01,25,447
2013-01-01,26,211
2013-01-01,27,111
2013-01-01,28,456
2013-01-01,29,351
2013-01-01,30,219
2013-01-01,31,337
2013-01-01,32,237
2013-01-01,33,384
2013-01-01,34,149
2013-01-01,35,350
2013-01-01,36,431
2013-01-01,37,157
2013-01-01,38,381
2013-01-01,39,248
2013-01-01,40,179
2013-01-01,41,103
2013-01-01,42,195
2013-01-01,43,253
2013-01-01,44,154
2013-01-01,45,396
2013-01-01,46,319
2013-01-01,47,116
2013-01-01,48,277
2013-01-01,49,159
2013-01-01,50,330
2013-01-02,1,99
2013-01-02,2,279
2013-01-02,3,213
2013-01-02,4,110
2013-01-02,5,81
2013-01-02,6,310
2013-01-02,7,291
2013-01-02,8,386
2013-01-02,9,225
2013-01-02,10,397
2013-01-02,11,396
2013-01-02,12,326
2013-01-02,13,434
2013-01-02,14,363
2013-01-02,15,442
2013-01-02,16,136
2013-01-02,17,181
2013-01-02,18,419
2013-01-02,19,208
2013-01-02,20,235
2013-01-02,21,242
2013-01-02,22,450
2013-01-02,23,163
2013-01-02,24,324
2013-01-02,25,432
2013-01-02,26,260
2013-01-02,27,134
2013-01-02,28,474
2013-01-02,29,360
2013-01-02,30,202
2013-01-02,31,323
2013-01-02,32,215
2013-01-02,33,345
2013-01-02,34,116
2013-01-02,35,345
2013-01-02,36,391
2013-01-02,37,151
2013-01-02,38,432
2013-01-02,39,225
2013-01-02,40,145
2013-01-02,41,132
2013-01-02,42,215
2013-01-02,43,255
2013-01-02,44,165
2013-01-02,45,393
2013-01-02,46,316
2013-01-02,47,118
2013-01-02,48,281
2013-01-02,49,159
2013-01-02,50,384
2013-01-03,1,127
2013-01-03,2,304
2013-01-03,3,193
2013-01-03,4,112
2013-01-03,5,96
2013-01-03,6,309
2013-01-03,7,324
2013-01-03,8,398
2013-01-03,9,265
2013-01-03,10,388
2013-01-03,11,398
2013-01-03,12,384
2013-01-03,13,455
2013-01-03,14,337
2013-01-03,15,487
2013-01-03,16,137
2013-01-03,17,207
2013-01-03,18,470
2013-01-03,19,230
2013-01-03,20,260
2013-01-03,21,243
2013-01-03,22,431
2013-01-03,23,121
2013-01-03,24,317
2013-01-03,25,481
2013-01-03,26,296
2013-01-03,27,120
2013-01-03,28,519
2013-01-03,29,413
2013-01-03,30,237
2013-01-03,31,305
2013-01-03,32,259
2013-01-03,33,388
2013-01-03,34,164
2013-01-03,35,316
2013-01-03,36,443
2013-01-03,37,158
2013-01-03,38,437
2013-01-03,39,254
2013-01-03,40,172
2013-01-03,41,131
2013-01-03,42,215
2013-01-03,43,306
2013-01-03,44,170
2013-01-03,45,459
2013-01-03,46,325
2013-01-03,47,104
2013-01-03,48,280
2013-01-03,49,187
2013-01-03,50,356
2013-01-04,1,145
2013-01-04,2,359
2013-01-04,3,218
2013-01-04,4,138
2013-01-04,5,108
2013-01-04,6,343
2013-01-04,7,335
2013-01-04,8,430
2013-01-04,9,313
2013-01-04,10,462
2013-01-04,11,460
2013-01-04,12,435
2013-01-04,13,474
2013-01-04,14,371
2013-01-04,15,533
2013-01-04,16,141
2013-01-04,17,195
2013-01-04,18,513
2013-01-04,19,238
2013-01-04,20,269
2013-01-04,21,246
2013-01-04,22,465
2013-01-04,23,173
2013-01-04,24,368
2013-01-04,25,450
2013-01-04,26,303
2013-01-04,27,135
2013-01-04,28,527
2013-01-04,29,406
2013-01-04,30,278
2013-01-04,31,368
2013-01-04,32,261
2013-01-04,33,415
2013-01-04,34,150
2013-01-04,35,389
2013-01-04,36,466
2013-01-04,37,174
2013-01-04,38,494
2013-01-04,39,284
2013-01-04,40,184
2013-01-04,41,122
2013-01-04,42,224
2013-01-04,43,323
2013-01-04,44,189
